epoch,accuracy,loss,val_accuracy,val_loss
0,0.37199002504348755,1.329946756362915,0.46685880422592163,1.2839125394821167
1,0.6365900635719299,1.0099159479141235,0.680115282535553,0.9288243055343628
2,0.792969822883606,0.5903106331825256,0.6974063515663147,0.7722672820091248
3,0.8502629399299622,0.4149256646633148,0.7146974205970764,0.7922104001045227
4,0.8862441182136536,0.3242422342300415,0.6887608170509338,0.8234968781471252
5,0.9058953523635864,0.2689034938812256,0.6858789920806885,0.9218393564224243
6,0.92084139585495,0.22710628807544708,0.6858789920806885,0.9451298117637634
7,0.9382784366607666,0.19083036482334137,0.6685879230499268,1.0033694505691528
8,0.950733482837677,0.16057899594306946,0.6743515729904175,1.0850448608398438
9,0.9562690258026123,0.14097678661346436,0.6772334575653076,1.1061272621154785
10,0.9631884694099426,0.12433658540248871,0.6541786789894104,1.192986249923706
11,0.9665098190307617,0.11534341424703598,0.6657060384750366,1.2576550245285034
12,0.9662330746650696,0.10795579105615616,0.6685879230499268,1.3244132995605469
13,0.971491813659668,0.10519149899482727,0.6657060384750366,1.3502718210220337
14,0.9731525182723999,0.08640886098146439,0.6657060384750366,1.4313534498214722
15,0.9725989699363708,0.08722422271966934,0.6570605039596558,1.4616172313690186
16,0.9739828109741211,0.07966164499521255,0.6685879230499268,1.50900399684906
17,0.973429262638092,0.08225862681865692,0.6743515729904175,1.5152093172073364
18,0.975089967250824,0.07596080005168915,0.6657060384750366,1.5195482969284058
19,0.976473867893219,0.07105211168527603,0.680115282535553,1.5559428930282593
20,0.9731525182723999,0.07423970103263855,0.6743515729904175,1.5719479322433472
21,0.975089967250824,0.07090593129396439,0.6484149694442749,1.638532042503357
22,0.9767506122589111,0.06927193701267242,0.6570605039596558,1.668134093284607
23,0.9761970639228821,0.06731162220239639,0.6685879230499268,1.6839491128921509
24,0.9795184135437012,0.07047668844461441,0.651296854019165,1.7129380702972412
